資料庫非預期停機類型整理如下，包含人為、網路、主機系統等因素。

| 類型 | 描述 | 可能的問題點 |
|---|---|---|
| 站點失效 | 整個站點故障，可能影響資料中心或相關服務運作 | 全站對外網路故障、天然災害、網路惡意攻擊 |
| 集群失敗 | 集群中節點故障，導致集群無法正常運作 | Oracle RAC 集群上最後一個節點故障，無法重新啟動節點或資料庫；備援集群互連失敗或集群軟體故障；資料庫嚴重損壞；磁碟儲存失敗 |
| 電腦主機故障 | 運行系統故障間接導致資料庫系統無法使用 | 資料庫系統硬體故障；作業系統故障 |
| 網路故障 | 資料庫到儲存設備或相關系統間網路流量中斷 | 網路交換機故障；主機網路故障；網路線材損壞 |
| 儲存設備失效 | 儲存設備無法正常讀寫或部分無法正常運作 | 磁碟故障；磁碟HBA卡故障；磁碟陣列整體故障 |
| 資料損壞 | 資料區塊損壞，分為物理或邏輯層面<br>物理層面：例如資料檔.dbf在作業系統操作下被刪除<br>邏輯層面：例如因電源失效等原因造成資料區塊損壞，影響程度依損壞區塊大小而異 | 物理層面：作業系統或儲存設備故障；磁碟HBA卡故障；磁碟陣列整體故障<br>邏輯層面：軟體磁碟管理工具錯誤操作導致讀寫錯誤；軟硬體Bug |
| 人為失誤 | 資料庫提交錯誤資訊，影響程度依受影響資料數量和關鍵性而異 | 檔案刪除；刪除資料庫內容物件；無意的資料更改錯誤；惡意資料竄改 |
| I/O 錯誤讀寫 | 另一種形式的資料損壞，檢測和修復困難，可能對資料庫造成嚴重破壞。資料區塊可能物理或邏輯上判斷為正確，但後續讀取會出現異常資料 | 作業系統或儲存設備故障；磁碟HBA卡故障；磁碟陣列整體故障；軟體磁碟管理工具錯誤操作導致讀寫錯誤；其他應用軟體導致 |
| 缺少可跨集群共享檔案系統/運作遲緩 | 資料庫或應用程式因資源或資料鎖爭用而無法處理事務 | 資料庫或應用程式鎖定；極消耗系統資源的失控進程；登錄風暴或系統故障；資源管理不佳，程式碼消耗極大資源；重做日誌或快速恢復區域目錄已滿 |
